ORDERNUMBER;QUANTITYORDERED;PRICEEACH;ORDERLINENUMBER;SALES;ORDERDATE;STATUS;QTR_ID;MONTH_ID;YEAR_ID;PRODUCTLINE;MSRP;PRODUCTCODE;CUSTOMERNAME;PHONE;ADDRESSLINE1;ADDRESSLINE2;CITY;STATE;POSTALCODE;COUNTRY;TERRITORY;CONTACTLASTNAME;CONTACTFIRSTNAME;DEALSIZE
10119;28;70.29;2;1968.12;1/1/2021;Shipped;2;4;2021;Planes;68;S24_3949;Salzburg Collectables;6562-9555;Geislweg 14;;Salzburg;;5020;Austria;EMEA;Pipps;Georg;Small
10104;29;100;12;3772.61;2/1/2021;Shipped;1;1;2021;Trucks and Buses;122;S18_2319;Euro Shopping Channel;(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;28034;Spain;EMEA;Freyre;Diego;Medium
10282;36;100;3;4174.92;2/1/2021;Shipped;3;8;2021;Trains;100;S18_3259;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Medium
10105;22;100;11;3065.04;3/1/2021;Shipped;1;2;2021;Vintage Cars;136;S18_3140;Danish Wholesale Imports;31 12 3555;Vinb'ltet 34;;Kobenhavn;;1734;Denmark;EMEA;Petersen;Jytte;Medium
10287;36;39.65;6;1427.4;3/1/2021;Shipped;3;8;2021;Classic Cars;37;S24_2972;Vida Sport, Ltd;0897-034555;Grenzacherweg 237;;Gensve;;1203;Switzerland;EMEA;Holz;Michael;Small
10257;46;78.89;4;3628.94;3/1/2021;Shipped;2;6;2021;Vintage Cars;97;S24_4258;The Sharp Gifts Warehouse;4085553659;3086 Ingle Ln.;;San Jose;CA;94217;USA;NA;Frick;Sue;Medium
10383;44;36.07;8;1587.08;4/1/2021;Shipped;1;2;2021;Trains;62;S32_3207;Euro Shopping Channel;(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;28034;Spain;EMEA;Freyre;Diego;Small
10297;35;100;3;3986.5;4/1/2021;Shipped;3;9;2021;Planes;118;S700_2834;Clover Collections, Co.;+353 1862 1555;25 Maiden Lane;Floor No. 4;Dublin;;2;Ireland;EMEA;Cassidy;Dean;Medium
10304;23;30.2;16;694.6;5/1/2021;Shipped;4;10;2021;Vintage Cars;33;S24_1937;Auto Assoc. & Cie.;30.59.8555;67, avenue de l'Europe;;Versailles;;78000;France;EMEA;Tonini;Daniel;Small
10424;26;59.87;4;1556.62;6/1/2021;In Process;2;5;2021;Vintage Cars;50;S18_4668;Euro Shopping Channel;(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;28034;Spain;EMEA;Freyre;Diego;Small
10416;39;67.2;10;2620.8;6/1/2021;Shipped;2;5;2021;Planes;80;S700_3167;L'ordine Souveniers;0522-556555;Strada Provinciale 124;;Reggio Emilia;;42100;Italy;EMEA;Moroni;Maurizio;Small
10174;48;93.34;3;4480.32;7/1/2021;Shipped;4;11;2021;Trucks and Buses;116;S18_1097;Australian Gift Network, Co;61-7-3844-6555;31 Duncan St. West End;;South Brisbane;Queensland;4101;Australia;APAC;Calaghan;Tony;Medium
10197;29;41.71;1;1209.59;7/1/2021;Shipped;4;11;2021;Planes;49;S72_1253;Enaco Distributors;(93) 203 4555;Rambla de Catalu¤a, 23;;Barcelona;;8022;Spain;EMEA;Saavedra;Eduardo;Small
10347;27;100;2;4428;8/1/2021;Shipped;4;11;2021;Classic Cars;147;S10_4962;Australian Collectors, Co.;03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;3004;Australia;APAC;Ferguson;Peter;Medium
10327;25;45.86;5;1146.5;8/1/2021;Resolved;4;11;2021;Ships;86;S18_3029;Danish Wholesale Imports;31 12 3555;Vinb'ltet 34;;Kobenhavn;;1734;Denmark;EMEA;Petersen;Jytte;Small
;;;;;;;;;;;;;;;;;;;;;;;;
10293;29;71.89;5;2084.81;8/1/2021;Shipped;3;9;2021;Ships;86;S700_1938;Amica Models & Co.;011-4988555;Via Monte Bianco 34;;Torino;;10100;Italy;EMEA;Accorti;Paolo;Small
10315;36;100;7;3602.16;9/1/2021;Shipped;4;10;2021;Vintage Cars;87;S18_4522;La Rochelle Gifts;40.67.8555;67, rue des Cinquante Otages;;Nantes;;44000;France;EMEA;Labrune;Janine;Medium
10390;40;100;9;5491.6;10/1/2021;Shipped;1;3;2021;Classic Cars;80;S18_3278;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Medium
10111;39;100;4;4178.85;10/1/2021;Shipped;1;3;2021;Vintage Cars;99;S18_3320;Mini Wheels Co.;6505555787;5557 North Pendale Street;;San Francisco;CA;;USA;NA;Murphy;Julie;Medium
10349;38;100;8;6719.54;11/1/2021;Shipped;4;12;2021;Classic Cars;163;S18_2238;Muscle Machine Inc;2125557413;4092 Furth Circle;Suite 400;NYC;NY;10022;USA;NA;Young;Jeff;Medium
10333;24;79.86;8;1916.64;11/1/2021;Shipped;4;11;2021;Vintage Cars;50;S18_4668;Mini Wheels Co.;6505555787;5557 North Pendale Street;;San Francisco;CA;;USA;NA;Murphy;Julie;Small
10170;41;100;3;4391.1;12/1/2021;Shipped;4;11;2021;Classic Cars;115;S12_4675;Mini Auto Werke;7675-3555;Kirchgasse 6;;Graz;;8010;Austria;EMEA;Mendel;Roland;Medium
10301;22;100;5;3223.44;12/1/2021;Shipped;4;10;2021;Classic Cars;132;S18_2870;Norway Gifts By Mail, Co.;+47 2212 1555;Drammensveien 126 A, PB 744 Sentrum;;Oslo;;N 0106;Norway;EMEA;Klaeboe;Jan;Medium
10271;25;69.28;11;1732;14/1/2021;Shipped;3;7;2021;Trucks and Buses;60;S18_2432;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Small
10175;50;63.31;3;3165.5;14/1/2021;Shipped;4;11;2021;Trucks and Buses;54;S32_2509;Stylish Desk Decors, Co.;(171) 555-0297;35 King George;;London;;WX3 6FW;UK;EMEA;Brown;Ann;Medium
10185;39;100;16;5096.91;15/1/2021;Shipped;4;11;2021;Classic Cars;143;S18_4027;Mini Creations Ltd.;5085559555;4575 Hillside Dr.;;New Bedford;MA;50553;USA;NA;Tam;Wing C;Medium
10182;36;73.6;14;2649.6;16/1/2021;Shipped;4;11;2021;Classic Cars;90;S24_2766;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Small
10310;24;100;1;3448.08;17/1/2021;Shipped;4;10;2021;Classic Cars;142;S18_1984;Toms Spezialitten, Ltd;0221-5554327;Mehrheimerstr. 369;;Koln;;50739;Germany;EMEA;Pfalzheim;Henriette;Medium
10228;24;100;3;2504.4;17/1/2021;Shipped;1;3;2021;Vintage Cars;101;S18_2949;Cambridge Collectables Co.;6175555555;4658 Baden Av.;;Cambridge;MA;51247;USA;NA;Tseng;Kyung;Small
10177;23;100;9;3675.63;17/1/2021;Shipped;4;11;2021;Vintage Cars;136;S18_3140;CAF Imports;+34 913 728 555;Merchants House, 27-30 Merchant's Quay;;Madrid;;28023;Spain;EMEA;Fernandez;Jesus;Medium
10212;41;82.31;3;3374.71;17/1/2021;Shipped;1;1;2021;Classic Cars;73;S24_1046;Euro Shopping Channel;(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;28034;Spain;EMEA;Freyre;Diego;Medium
10108;31;68.71;10;2130.01;17/1/2021;Shipped;1;3;2021;Classic Cars;80;S24_4620;Cruz & Sons Co.;+63 2 555 3587;15 McCallum Street - NatWest Center #13-03;;Makati City;;1227 MM;Philippines;Japan;Cruz;Arnold;Small
10190;40;66.72;2;2668.8;17/1/2021;Shipped;4;11;2021;Motorcycles;81;S50_4713;Euro Shopping Channel;(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;28034;Spain;EMEA;Freyre;Diego;Small
10191;21;100;3;3840.9;18/1/2021;Shipped;4;11;2021;Classic Cars;194;S12_1099;Toms Spezialitten, Ltd;0221-5554327;Mehrheimerstr. 369;;Koln;;50739;Germany;EMEA;Pfalzheim;Henriette;Medium
10305;24;100;10;3189.6;18/1/2021;Shipped;4;10;2021;Trucks and Buses;127;S24_2300;Marta's Replicas Co.;6175558555;39323 Spinnaker Dr.;;Cambridge;MA;51247;USA;NA;Hernandez;Marta;Medium
10175;33;100;9;5362.83;20/1/2021;Shipped;4;11;2021;Classic Cars;147;S10_4962;Stylish Desk Decors, Co.;(171) 555-0297;35 King George;;London;;WX3 6FW;UK;EMEA;Brown;Ann;Medium
10186;22;69.2;2;1522.4;20/1/2021;Shipped;4;11;2021;Planes;68;S24_2841;Double Decker Gift Stores, Ltd;(171) 555-7555;120 Hanover Sq.;;London;;WA1 1DP;UK;EMEA;Hardy;Thomas;Small
10346;24;100;2;3325.92;20/1/2021;Shipped;4;11;2021;Classic Cars;85;S24_3191;Signal Gift Stores;7025551838;8489 Strong St.;;Las Vegas;NV;83030;USA;NA;King;Sue;Medium
10285;37;41.03;1;1518.11;20/1/2021;Shipped;3;8;2021;Motorcycles;40;S32_2206;Marta's Replicas Co.;6175558555;39323 Spinnaker Dr.;;Cambridge;MA;51247;USA;NA;Hernandez;Marta;Small
10263;37;62.46;7;2311.02;21/1/2021;Shipped;2;6;2021;Motorcycles;76;S24_2000;Gift Depot Inc.;2035552570;25593 South Bay Ln.;;Bridgewater;CT;97562;USA;NA;King;Julie;Small
10419;70;100;8;9240;21/1/2021;Shipped;2;5;2021;Classic Cars;140;S24_3856;Salzburg Collectables;6562-9555;Geislweg 14;;Salzburg;;5020;Austria;EMEA;Pipps;Georg;Large
10142;24;100;15;3791.52;22/1/2021;Shipped;3;8;2021;Classic Cars;143;S18_4027;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Medium
10375;43;100;2;10039.6;22/1/2021;Shipped;1;2;2021;Planes;72;S24_4278;La Rochelle Gifts;40.67.8555;67, rue des Cinquante Otages;;Nantes;;44000;France;EMEA;Labrune;Janine;Large
10374;39;100;5;5288.01;23/1/2021;Shipped;1;2;2021;Motorcycles;118;S10_2016;Australian Gift Network, Co;61-7-3844-6555;31 Duncan St. West End;;South Brisbane;Queensland;4101;Australia;APAC;Calaghan;Tony;Medium
10113;49;100;4;4916.66;23/1/2021;Shipped;1;3;2021;Trucks and Buses;116;S18_1097;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Medium
10412;30;36.07;6;1082.1;23/1/2021;Shipped;2;5;2021;Classic Cars;35;S24_2840;Euro Shopping Channel;(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;28034;Spain;EMEA;Freyre;Diego;Small
10178;30;72.33;3;2169.9;23/1/2021;Shipped;4;11;2021;Planes;68;S24_3949;Alpha Cognac;61.77.6555;1 rue Alsace-Lorraine;;Toulouse;;31000;France;EMEA;Roulet;Annette;Small
10343;29;100;5;3713.16;23/1/2021;Shipped;4;11;2021;Motorcycles;40;S32_2206;Reims Collectables;26.47.1555;59 rue de l'Abbaye;;Reims;;51100;France;EMEA;Henriot;Paul;Medium
10156;20;41.02;1;820.4;23/1/2021;Shipped;4;10;2021;Vintage Cars;43;S50_1341;Euro Shopping Channel;(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;28034;Spain;EMEA;Freyre;Diego;Small
10204;23;71.44;3;1643.12;24/1/2021;Shipped;4;12;2021;Vintage Cars;60;S18_2248;Muscle Machine Inc;2125557413;4092 Furth Circle;Suite 400;NYC;NY;10022;USA;NA;Young;Jeff;Small
10122;21;100;12;2469.39;24/1/2021;Shipped;2;5;2021;Classic Cars;146;S18_3482;Marseille Mini Autos;91.24.4555;12, rue des Bouchers;;Marseille;;13008;France;EMEA;Lebihan;Laurence;Small
10283;46;100;3;5795.54;24/1/2021;Shipped;3;8;2021;Vintage Cars;105;S18_3856;Royal Canadian Collectables, Ltd.;(604) 555-4555;23 Tsawassen Blvd.;;Tsawassen;BC;T2F 8M4;Canada;NA;Lincoln;Elizabeth;Medium
10289;43;100;3;8272.34;25/1/2021;Shipped;3;9;2021;Vintage Cars;168;S18_2795;Herkku Gifts;+47 2267 3215;Drammen 121, PR 744 Sentrum;;Bergen;;N 5804;Norway;EMEA;Oeztan;Veysel;Large
10296;21;71.25;8;1496.25;25/1/2021;Shipped;3;9;2021;Planes;68;S24_2841;Bavarian Collectables Imports, Co.;+49 89 61 08 9555;Hansastr. 15;;Munich;;80686;Germany;EMEA;Donnermeyer;Michael;Small
10105;31;65.77;3;2038.87;25/1/2021;Shipped;1;2;2021;Ships;72;S700_2610;Danish Wholesale Imports;31 12 3555;Vinb'ltet 34;;Kobenhavn;;1734;Denmark;EMEA;Petersen;Jytte;Small
10337;31;89.38;1;2770.78;25/1/2021;Shipped;4;11;2021;Ships;100;S700_3505;Classic Legends Inc.;2125558493;5905 Pompton St.;Suite 750;NYC;NY;10022;USA;NA;Hernandez;Maria;Small
10307;39;100;1;7379.97;26/1/2021;Shipped;4;10;2021;Planes;157;S18_1662;Classic Gift Ideas, Inc;2155554695;782 First Street;;Philadelphia;PA;71270;USA;NA;Cervantes;Francisca;Large
10178;27;73.64;6;1988.28;26/1/2021;Shipped;4;11;2021;Vintage Cars;65;S24_3420;Alpha Cognac;61.77.6555;1 rue Alsace-Lorraine;;Toulouse;;31000;France;EMEA;Roulet;Annette;Small
10390;30;82.42;10;2472.6;26/1/2021;Shipped;1;3;2021;Classic Cars;80;S24_4620;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Small
10165;38;66.78;5;2537.64;26/1/2021;Shipped;4;10;2021;Trains;58;S50_1514;Dragon Souveniers, Ltd.;+65 221 7555;Bronz Sok., Bronz Apt. 3/6 Tesvikiye;;Singapore;;79903;Singapore;Japan;Natividad;Eric;Small
10134;41;94.74;2;3884.34;27/1/2021;Shipped;3;7;2021;Motorcycles;95;S10_1678;Lyon Souveniers;+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;75508;France;EMEA;Da Cunha;Daniel;Medium
10168;20;100;3;4183;27/1/2021;Shipped;4;10;2021;Motorcycles;193;S10_4698;Technics Stores Inc.;6505556809;9408 Furth Circle;;Burlingame;CA;94217;USA;NA;Hirano;Juri;Medium
10388;21;86.77;7;1822.17;27/1/2021;Shipped;1;3;2021;Motorcycles;193;S10_4698;FunGiftIdeas.com;5085552555;1785 First Street;;New Bedford;MA;50553;USA;NA;Benitez;Violeta;Small
10171;35;100;2;4508;27/1/2021;Shipped;4;11;2021;Classic Cars;141;S18_1129;Quebec Home Shopping Network;(514) 555-8054;43 rue St. Laurent;;Montreal;Quebec;H1J 1C3;Canada;NA;Fresnisre;Jean;Medium
10209;28;100;6;2817.92;28/1/2021;Shipped;1;1;2021;Ships;86;S18_3029;Men 'R' US Retailers, Ltd.;2155554369;6047 Douglas Av.;;Los Angeles;CA;;USA;NA;Chandler;Michael;Small
10215;46;45.28;1;2082.88;28/1/2021;Shipped;1;1;2021;Vintage Cars;50;S18_4668;West Coast Collectables Co.;3105553722;3675 Furth Circle;;Burbank;CA;94019;USA;NA;Thompson;Steve;Small
10248;23;76.31;2;1755.13;28/1/2021;Cancelled;2;5;2021;Vintage Cars;83;S24_3816;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;USA;NA;Yu;Kwai;Small
10182;38;61.15;9;2323.7;29/1/2021;Shipped;4;11;2021;Vintage Cars;60;S18_2248;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Small
10247;48;100;5;6756;29/1/2021;Shipped;2;5;2021;Classic Cars;143;S18_4027;Suominen Souveniers;+358 9 8045 555;Software Engineering Center, SEC Oy;;Espoo;;FIN-02271;Finland;EMEA;Suominen;Kalle;Medium
10316;45;93.24;13;4195.8;29/1/2021;Shipped;4;11;2021;Ships;90;S700_2047;giftsbymail.co.uk;(198) 555-8888;Garden House Crowther Way;;Cowes;Isle of Wight;PO31 7PJ;UK;EMEA;Bennett;Helen;Medium
10136;41;100;3;8331.61;30/1/2021;Shipped;3;7;2021;Classic Cars;169;S18_3232;Alpha Cognac;61.77.6555;1 rue Alsace-Lorraine;;Toulouse;;31000;France;EMEA;Roulet;Annette;Large
10373;46;66;11;3036;30/1/2021;Shipped;1;1;2021;Vintage Cars;65;S24_3420;Oulu Toy Supplies, Inc.;981-443655;Torikatu 38;;Oulu;;90110;Finland;EMEA;Koskitalo;Pirkko;Medium
10378;33;53.27;3;1757.91;30/1/2021;Shipped;1;2;2021;Classic Cars;140;S24_3856;Euro Shopping Channel;(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;28034;Spain;EMEA;Freyre;Diego;Small
10319;30;100;9;4111.8;31/1/2021;Shipped;4;11;2021;Motorcycles;150;S12_2823;Microscale Inc.;2125551957;5290 North Pendale Street;Suite 200;NYC;NY;10022;USA;NA;Kuo;Kee;Medium
10271;20;100;9;3928.6;31/1/2021;Shipped;3;7;2021;Classic Cars;169;S18_3232;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Medium
10151;27;100;10;3068.55;31/1/2021;Shipped;3;9;2021;Trucks and Buses;96;S32_1268;Oulu Toy Supplies, Inc.;981-443655;Torikatu 38;;Oulu;;90110;Finland;EMEA;Koskitalo;Pirkko;Medium
10397;36;100;2;3789.72;31/1/2021;Shipped;1;3;2021;Ships;99;S700_3962;Alpha Cognac;61.77.6555;1 rue Alsace-Lorraine;;Toulouse;;31000;France;EMEA;Roulet;Annette;Medium
10348;29;100;6;7110.8;2/2/2021;Shipped;4;11;2021;Vintage Cars;50;S18_4668;Corrida Auto Replicas, Ltd;(91) 555 22 82;C/ Araquil, 67;;Madrid;;28023;Spain;EMEA;Sommer;Mart¡n;Large
10315;24;86.74;1;2081.76;2/2/2021;Shipped;4;10;2021;Vintage Cars;88;S24_3151;La Rochelle Gifts;40.67.8555;67, rue des Cinquante Otages;;Nantes;;44000;France;EMEA;Labrune;Janine;Small
10230;43;52.14;2;2242.02;2/2/2021;Shipped;1;3;2021;Trains;58;S50_1514;Blauer See Auto, Co.;+49 69 66 90 2555;Lyonerstr. 34;;Frankfurt;;60528;Germany;EMEA;Keitel;Roland;Small
10229;48;100;6;5704.32;3/2/2021;Shipped;1;3;2021;Trucks and Buses;127;S24_2300;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Medium
10131;29;59.18;6;1716.22;3/2/2021;Shipped;2;6;2021;Vintage Cars;65;S24_3420;Gift Ideas Corp.;2035554407;2440 Pompton St.;;Glendale;CT;97561;USA;NA;Lewis;Dan;Small
10222;48;56.64;3;2718.72;3/2/2021;Shipped;1;2;2021;Planes;68;S24_3949;Collectable Mini Designs Co.;7605558146;361 Furth Circle;;San Diego;CA;91217;USA;NA;Thompson;Valarie;Small
10329;39;64.74;15;2524.86;4/2/2021;Shipped;4;11;2021;Classic Cars;115;S12_4675;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;USA;NA;Yu;Kwai;Small
10250;44;67.2;10;2956.8;4/2/2021;Shipped;2;5;2021;Planes;80;S700_3167;The Sharp Gifts Warehouse;4085553659;3086 Ingle Ln.;;San Jose;CA;94217;USA;NA;Frick;Sue;Small
10275;45;92.83;1;4177.35;5/2/2021;Shipped;3;7;2021;Motorcycles;95;S10_1678;La Rochelle Gifts;40.67.8555;67, rue des Cinquante Otages;;Nantes;;44000;France;EMEA;Labrune;Janine;Medium
10105;41;70.67;5;2897.47;5/2/2021;Shipped;1;2;2021;Ships;66;S700_1138;Danish Wholesale Imports;31 12 3555;Vinb'ltet 34;;Kobenhavn;;1734;Denmark;EMEA;Petersen;Jytte;Small
